timestamp,log_level,message,event_type
"2026-09-18 15:05:37,341",WARNING,High response time detected,warning
"2026-09-18 15:05:39,801",INFO,Health check completed successfully,normal
"2026-09-18 15:05:40,067",WARNING,High response time detected,warning
"2026-09-18 15:05:42,494",WARNING,High response time detected,warning
"2026-09-18 15:05:44,820",INFO,Health check completed successfully,normal
"2026-09-18 15:05:45,122",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:05:45,556",WARNING,High response time detected,warning
"2026-09-18 15:05:47,996",ERROR,Simulated application error detected,error
"2026-09-18 15:05:48,355",INFO,Health check completed successfully,normal
"2026-09-18 15:05:48,952",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:05:49,488",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:05:49,801",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:05:49,992",WARNING,High response time detected,warning
"2026-09-18 15:05:52,191",ERROR,Simulated application error detected,error
"2026-09-18 15:05:52,726",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:05:52,985",INFO,Health check completed successfully,normal
"2026-09-18 15:05:53,506",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:05:53,922",INFO,Health check completed successfully,normal
"2026-09-18 15:05:54,129",WARNING,High response time detected,warning
"2026-09-18 15:05:56,440",INFO,Health check completed successfully,normal
"2026-09-18 15:05:56,572",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:05:57,034",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:05:57,476",INFO,Health check completed successfully,normal
"2026-09-18 15:05:57,721",ERROR,Simulated application error detected,error
"2026-09-18 15:05:57,926",WARNING,High response time detected,warning
"2026-09-18 15:06:00,460",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:06:00,731",INFO,Health check completed successfully,normal
"2026-09-18 15:06:00,984",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:06:01,487",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:06:01,989",WARNING,High response time detected,warning
"2026-09-18 15:06:04,149",INFO,Home endpoint accessed successfully,normal
"2026-09-18 15:06:04,424",INFO,Health check completed successfully,normal
"2026-09-18 15:06:04,898",INFO,Home endpoint accessed successfully,normal
